id_number	mz	rtime	empCpd	neutral_formula	ion_relation	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	batch14_MT_20210808_087	batch11_MT_20210805_005	batch12_MT_20210806_005_20210806121327	batch13_MT_20210807_005	batch14_MT_20210808_005	batch14_MT_20210808_089	batch14_MT_20210808_179	batch14_MT_20210808_181
F5128	593.3339	115.1	kp689_592.3267		M0,M+H+	112.81	117.02	2925	12522386	1.0	0.98	3084	6	2053598	1816875	2370641	2002032	2404154	0	1887086	0
F5129	463.3784	15.75	4409	C29H48O3		14.61	18.01	2455	9059649	1.0	0.87	1848	4	2607581	0	0	0	0	1895740	2127154	2439174
F5138	593.478	35.25	kp692_592.4707		M0,M+H+	30.61	39.9	2926	14043539	0.97	0.91	44	8	2252181	1284721	1573261	1336529	1579436	2240671	2035835	1846238
F5139	551.9246	139.12	106109		singleton	137.22	142.1	2768	3166547	1.0	0.98	517	3	1168842	0	0	0	0	0	780923	1230787
F5140	464.1918	103.4	kp693_463.1845		M0,M+H+	99.93	108.02	2456	34201186	1.0	0.99	5142	8	5555036	2994805	2771452	3099409	3233304	5258526	5377490	5387622
F5141	464.1918	126.09	4656	C23H29NO9	singleton	124.93	127.99	2456	666139	0.96	0.73	150	6	134037	10523	0	8664	0	161926	144835	204631
F5142	384.3113	16.13	kp694_383.3038		M0,M+H+	13.86	18.76	2087	9848828	1.0	0.9	35	8	499041	2200028	2089583	1983155	2290757	159733	284409	302496
F5144	552.0607	110.44	4658	C19H23N4O8P2S	singleton	107.23	113.19	2769	8219485	1.0	0.98	1060	8	1101876	931642	853666	947744	1105552	1029306	1036689	1107411
F5147	464.3137	87.41	kp695_463.3063		M0,M+H+	85.53	90.03	2457	31052343	1.0	0.73	6342	8	6529332	1337112	1150849	1326722	1150960	6010810	6086585	7047948
F5148	384.7723	18.76	106110		singleton	15.37	22.2	2088	5946133	1.0	0.99	765	6	1526428	495422	669490	0	0	831697	1195848	1246256
F5149	552.2935	87.03	4659	C29H44O10	singleton	84.0	88.9	2770	12409240	1.0	0.92	1734	4	2325977	0	0	0	0	2918607	3308296	3870360
F5151	465.1951	176.89	4660	C24H32O7S	singleton	174.96	179.98	2458	2176909	1.0	0.97	395	8	327969	272435	225937	216277	136426	374571	319366	317928
F5152	552.33	85.15	kp1602_1065.1917		M0,K/H, 2x charged	80.57	88.9	2771	4248442	1.0	0.99	387	4	716532	0	0	0	0	973555	1292406	1293858
F5153	552.33	93.01	_singleton_4661	C30H48O9	singleton	91.5	96.08	2771	3722979	1.0	0.98	530	4	913938	0	0	0	0	864248	951085	845108
F5154	552.33	98.0	4662	C30H48O9	singleton	96.08	101.1	2771	1221379	1.0	0.98	154	4	299443	0	0	0	0	339407	330016	287244
F5155	384.9607	17.63	kp1179_382.9505		13C/12C,M+H+	16.13	21.04	2089	6067833	1.0	0.79	188	7	426120	977446	1525185	1524800	472427	0	568929	248939
F5156	384.9607	36.4	_singleton_4663	C15H10Cl3N3OS	singleton	31.76	41.05	2089	2164172	0.74	0.72	154	7	438873	126961	262621	212586	343070	0	472998	346119
F5158	465.2459	189.47	kp696_464.2386		M0,M+H+	187.18	194.08	2459	11215561	1.0	0.96	1808	4	2884042	0	0	0	0	2985722	2601568	2763229
F5160	552.4027	87.79	4665	C28H58NO7P	singleton	83.62	90.03	2773	26548754	1.0	0.91	4401	8	3707755	3028946	2438232	2558199	2530594	3948307	4157756	3408793
F5161	465.3577	23.7	_singleton_4666	C28H48O5	singleton	22.58	27.93	2461	5221824	0.71	0.98	124	8	696875	523257	538422	448327	656640	841060	785915	659947
F5170	552.4264	23.7	_singleton_4420	C32H54O6	singleton	21.82	27.15	2774	4137090	1.0	0.99	171	8	539253	353599	514399	360802	382097	613065	725320	579213
F5172	552.4264	47.6	4422	C32H54O6	singleton	43.77	52.24	2774	2384989	0.8	0.84	133	8	417799	193289	262792	169270	184513	413119	434508	360578
F5176	385.9714	27.93	kp1459_343.9376		M0,ACN	24.82	29.46	2090	12352506	0.78	0.78	51	8	2327399	684830	1273261	1180244	1183455	1900083	2376271	1683712
F5178	385.9714	36.4	kp1461_343.9376		M0,ACN	33.71	41.05	2090	22136816	0.87	0.96	71	8	3477524	1350247	2562416	2403567	3161022	3121814	3575812	2680374
F5182	466.3166	107.63	kp697_465.3094		M0,M+H+	103.79	111.65	2463	12611725	1.0	0.99	2712	8	2063011	927910	1166034	1030794	879690	2319524	2272736	1956678
F5183	594.3407	83.62	kp698_593.3335		M0,M+H+	80.19	87.03	2930	14699838	1.0	0.84	1791	4	2683247	0	0	0	0	2902907	4105851	5026833
F5184	466.3295	87.41	kp699_465.3222		M0,M+H+	84.0	90.03	2464	38177213	1.0	0.85	6237	8	7773742	2264191	2436037	2349538	2343420	6912072	6525648	7060256
F5185	466.3295	92.25	kp700_465.3222		M0,M+H+	91.5	94.93	2464	4776490	1.0	0.82	956	8	1000593	244105	241089	253918	317670	913616	678025	908073
F5186	594.3769	80.57	kp701_593.3695		M0,M+H+	75.99	85.15	2931	217342704	1.0	0.91	8688	5	41694940	0	2430095	0	0	48003943	57775390	67437194
F5188	386.2388	118.53	4672	C17H31N5O5	singleton	115.1	121.92	2092	3196535	1.0	0.99	229	5	641938	580376	0	0	0	624776	659497	682688
F5189	467.2027	107.63	4673	C25H32O7	singleton	105.33	110.44	2465	3313979	1.0	1.0	584	4	801731	0	0	0	0	923353	811981	790917
F5192	467.2755	18.38	4674	C27H40O5	singleton	16.89	22.95	2466	3425771	1.0	0.96	207	4	696733	0	0	0	0	1340345	738237	660474
F5193	594.5097	23.32	kp702_593.5025		M0,M+H+	21.82	26.36	2933	32684827	1.0	0.97	7116	8	5016969	3229284	3277120	3308686	3141213	5150924	4358298	4129648
F5194	594.5097	32.16	4675	C36H64O5		27.54	35.64	2933	5258211	0.82	0.86	348	8	749862	473220	775000	600754	522811	790636	747108	684123
F5196	386.2904	91.5	kp704_385.2831		M0,M+H+	88.16	95.7	2094	20772526	1.0	0.91	2808	8	1441024	3362993	3459035	3633564	3623308	1398694	1634771	1549290
F5197	595.3495	114.34	kp705_594.3423		M0,M+H+	112.04	117.79	2934	26813674	1.0	0.99	5652	8	742752	7380111	4961623	4478594	6259525	602221	537689	607088
F5206	552.9216	139.12	106118		singleton	137.22	142.1	2776	3128538	1.0	0.99	508	4	795011	0	0	0	0	944626	622631	789323
F5207	595.4937	23.32	kp706_594.4864		M0,M+H+	22.2	26.75	2936	89974581	1.0	0.96	268	8	14682529	7982897	7393416	7310833	7421090	15271988	13929283	13866876
F5208	595.4937	32.55	kp707_594.4863		M0,M+H+	27.93	37.17	2936	26690708	0.9	0.93	22	8	4669588	2260296	2784412	2246484	2238569	4235224	4452859	3998504
F5209	467.3735	23.7	kp1469_466.3662		M0,M+H+	22.58	27.54	2469	8399092	0.83	0.92	429	8	1254651	598493	939519	841694	1138127	1270654	1222421	1098053
F5211	553.0594	110.44	4680	C16H24N2O14P2	singleton	106.47	113.95	2777	4047429	1.0	0.99	463	6	624263	0	689917	0	776387	727514	600021	659649
F5213	468.1106	19.51	4681	C21H24O10S	singleton	18.38	22.58	2470	9968373	1.0	0.95	1885	8	1408038	1038040	1035708	1105221	1131277	1804896	1290857	1155759
F5214	468.3088	91.87	kp708_467.3012		M0,M+H+	87.41	96.46	2471	600048786	1.0	0.99	72210	8	108220780	64592027	71012497	71213104	69094899	110243060	105125091	105265772
F5217	386.8665	140.98	106119		singleton	136.83	142.87	2097	3152985	1.0	0.83	312	4	826852	0	0	0	0	705791	769332	868017
F5218	386.9553	17.63	kp710_344.9213		M0,ACN	14.23	21.04	2098	134690161	1.0	0.85	158	8	11094015	21560669	29466105	32976387	11073522	4519702	11182620	6494777
F5219	386.9553	27.54	kp1470_385.9481		M0,M+H+	24.82	29.84	2098	26491990	0.84	0.88	42	8	5315397	1235687	2318820	2312569	2381715	4413776	5152437	3823035
F5220	386.9553	31.76	kp712_385.948		M0,M+H+	29.84	33.71	2098	30137416	0.88	0.94	55	8	5952524	1516397	3138086	2598315	2865013	4358219	5585510	4134352
F5221	386.9553	36.02	kp713_385.948		M0,M+H+	33.71	40.67	2098	43902608	0.88	0.95	61	8	7259419	2247125	4625469	4450115	6141785	6399029	7569043	5518826
F5222	386.9553	50.32	kp714_385.948		M0,M+H+	45.69	54.57	2098	45789955	0.88	0.78	57	8	7929513	1811304	4497543	4419202	5179581	7304838	8788903	6879466
F5230	554.0576	110.44	4688	C26H20Cl2N4O4S	singleton	106.47	113.57	2780	6454088	1.0	0.99	783	8	880293	677344	687581	751344	868169	809691	808691	893075
F5232	554.1761	14.61	4689	C30H39ClSn	singleton	13.48	19.14	2781	377727190	1.0	0.99	14838	7	84617889	9648979	0	7758015	11320024	89122814	88611353	86664116
F5233	387.0853	115.1	kp1471_386.078		M0,M+H+	112.81	118.16	2101	2392523	1.0	0.99	413	5	503196	620442	487764	289048	0	442560	0	0
F5234	468.3898	16.51	kp715_467.3818		M0,M+H+	14.61	20.66	2474	19729452	1.0	0.96	108	8	3166163	1444254	973217	4156359	786777	2599757	3401551	3283780
F5238	554.393	90.39	kp716_553.3855		M0,M+H+	85.9	94.93	2782	738383802	1.0	0.98	123124	8	197329319	185866794	62405755	99871080	141083725	192924256	211651123	209269232
F5239	554.4418	23.7	kp717_553.4343		M0,M+H+	22.58	27.54	2783	8197601	1.0	0.96	18	8	1206408	566975	889663	598781	685076	1434273	1441003	1321746
F5240	469.0268	231.78	kp718_468.0188		M0,M+H+	227.66	236.35	2475	38646638	1.0	0.88	151	4	9731180	0	0	0	0	9332719	9599983	10006756
F5241	387.1805	16.89	4693	C22H26O6	singleton	13.48	21.43	2103	360830133	1.0	0.97	51026	8	112931886	14485493	31793421	14237925	4206394	82508543	106247544	93455562
F5243	469.2686	20.27	4695	C27H36N2O5	singleton	18.76	21.43	2476	10062836	1.0	0.94	3414	2	4770523	0	0	0	0	0	5300313	0
F5246	554.9643	146.67	4696	C19H15BrN4O7S2	singleton	145.18	150.03	2785	32418072	1.0	0.91	5183	7	4449137	2570413	0	3614325	5976543	6159690	6230269	4167189
F5251	469.3891	23.7	kp719_468.3824		M0,M+H+	22.58	27.54	2478	22370193	1.0	0.94	4878	8	3546168	2078499	2181457	1747652	2375328	3796622	3444621	3069623
F5252	469.3891	36.02	4697	C28H50O4	singleton	31.37	40.28	2478	8758815	1.0	0.93	492	8	1415965	849538	1102999	735582	1008252	1299336	1327706	1094203
F5253	555.1766	14.61	4698	C29H26ClF3N4O2	singleton	13.48	18.01	2786	147567687	1.0	0.99	41020	4	35568036	0	0	0	0	37596960	37158766	37256925
F5255	596.5254	23.32	_singleton_4699	C36H66O5	singleton	21.82	25.59	2943	10994736	1.0	0.95	1195	8	1546713	1148407	1350987	773390	1156190	1853405	1548205	1628439
F5258	470.1075	19.88	4701	C23H21BrN2O3	singleton	18.01	22.58	2481	2385911	1.0	1.0	389	5	488292	382522	0	0	0	579289	433766	515047
F5259	596.8364	139.86	kp1476_559.8513		M0,HCl	137.98	142.1	2945	10873591	1.0	0.82	1490	5	2156478	0	0	0	814586	2467975	2568960	2797287
F5261	597.0113	147.04	kp720_596.0036		M0,M+H+	143.25	151.56	2946	714324414	1.0	1.0	290113	8	363722356	356847328	326722198	346994031	355590180	365420756	376127097	367532923
F5262	470.2177	115.48	kp721_469.2105		M0,M+H+	114.34	117.79	2482	4310990	1.0	0.97	1140	4	1228234	0	0	0	0	1026887	1087712	978157
F5263	470.2177	125.32	kp722_469.2105		M0,M+H+	123.05	129.9	2482	28053193	1.0	0.97	3529	4	7088060	0	0	0	0	7494167	6686391	6803575
F5264	597.2878	96.46	4702	C26H45NO9S2	singleton	94.15	99.55	2947	4537978	1.0	0.99	679	3	1634341	0	0	0	0	1331665	0	1588370
F5266	597.5093	23.32	kp723_596.502		M0,M+H+	22.58	26.75	2948	53853875	1.0	0.96	145	8	8178358	5080273	5253891	4749598	4874054	8824189	8208487	7331382
F5267	597.5093	32.94	kp775_596.502		M0,M+H+	28.31	37.17	2948	18220504	0.81	0.9	15	8	3055811	1635180	2087382	1763257	1819120	2826556	2724596	2490306
F5273	470.3926	33.71	4703	C30H51BO3	singleton	30.23	34.1	2484	557149	0.75	0.94	115	8	101057	88378	72654	58408	24145	90378	66000	67129
F5276	470.8068	140.23	106123		singleton	137.22	142.49	2485	3140920	1.0	0.98	394	3	1150456	0	0	0	0	0	896120	1109350
F5280	471.0244	231.04	4705	C21H18BrN3O3S	singleton	226.54	235.2	2486	3697129	0.9	0.81	230	3	1149763	0	0	0	0	1220018	0	1357962
F5287	471.9531	254.68	kp1436_429.9192		M0,ACN	250.1	259.26	2488	7690928	0.71	0.95	25	2	3934567	0	0	0	0	0	3830605	0
F5292	472.9613	147.04	4710	C18H14Cl2N2O3S3	singleton	145.18	150.41	2489	33817975	1.0	0.89	5354	8	4863150	3101393	3995716	2892412	5390927	6825832	3343243	4603957
F5293	473.2287	132.98	kp725_472.2218		M0,M+H+	130.67	136.45	2490	39063064	1.0	0.99	5654	4	10630405	0	0	0	0	10272247	9391267	8446938
F5302	388.1539	18.01	_singleton_3939	C19H22ClN5O2	singleton	16.89	22.2	2111	10193689	1.0	0.78	300	8	1475908	981682	1427096	1256790	1005907	932345	1599264	1317308
